minister	archetype	kind	pid	outcome	doc_type	url	chars_cached
GILMAR MENDES	concedentes	cite	173170	concedido	MANIFESTAÇÃO DA PGR	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15340766504&ext=.pdf	5353
GILMAR MENDES	concedentes	cite	173170	concedido	DECISÃO MONOCRÁTICA	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15340728182&ext=.pdf	19434
GILMAR MENDES	concedentes	new	173565	concedido	INTEIRO TEOR DO ACÓRDÃO	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15343040421&ext=.pdf	12162
GILMAR MENDES	concedentes	new	173565	concedido	INTEIRO TEOR DO ACÓRDÃO	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15343040421&ext=.pdf	12162
GILMAR MENDES	concedentes	new	173565	concedido	DECISÃO MONOCRÁTICA	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15341328070&ext=.pdf	11281
RICARDO LEWANDOWSKI	concedentes	new	173743	concedido	MANIFESTAÇÃO DA PGR	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15341941914&ext=.pdf	0
RICARDO LEWANDOWSKI	concedentes	new	173743	concedido	INTEIRO TEOR DO ACÓRDÃO	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15341790917&ext=.pdf	29994
RICARDO LEWANDOWSKI	concedentes	new	173743	concedido	DECISÃO MONOCRÁTICA	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15341093923&ext=.pdf	10721
RICARDO LEWANDOWSKI	concedentes	new	159356	concedido	MANIFESTAÇÃO DA PGR	https://portal.stf.jus.br/processos/downloadPeca.asp?id=314989877&ext=.pdf	0
RICARDO LEWANDOWSKI	concedentes	new	159356	concedido	DECISÃO MONOCRÁTICA	https://portal.stf.jus.br/processos/downloadPeca.asp?id=314957355&ext=.pdf	15866
CELSO DE MELLO	concedentes	new	173800	concedido	DECISÃO MONOCRÁTICA	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15342275454&ext=.pdf	41439
CELSO DE MELLO	concedentes	new	173800	concedido	MANIFESTAÇÃO DA PGR	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15342287342&ext=.pdf	0
CELSO DE MELLO	concedentes	new	173800	concedido	MANIFESTAÇÃO DA PGR	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15341056155&ext=.pdf	0
CELSO DE MELLO	concedentes	new	173791	concedido	DECISÃO MONOCRÁTICA	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15342275455&ext=.pdf	38472
CELSO DE MELLO	concedentes	new	173791	concedido	MANIFESTAÇÃO DA PGR	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15342287340&ext=.pdf	0
CELSO DE MELLO	concedentes	new	173791	concedido	MANIFESTAÇÃO DA PGR	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15340868425&ext=.pdf	0
ALEXANDRE DE MORAES	denegadores	cite	243221	denegado	INTEIRO TEOR DO ACÓRDÃO	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15370796296&ext=.pdf	2232
ALEXANDRE DE MORAES	denegadores	cite	243221	denegado	INTEIRO TEOR DO ACÓRDÃO	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15369664066&ext=.pdf	4111
ALEXANDRE DE MORAES	denegadores	new	134691	nao_provido	INTEIRO TEOR DO ACÓRDÃO	https://portal.stf.jus.br/processos/downloadPeca.asp?id=314824318&ext=.pdf	0
